0,0,10.0
10,0,10.5
20,0,11.0
30,0,11.5
40,0,12.0
50,0,12.0
60,0,11.5
70,0,11.0
80,0,10.5
90,0,10.0
100,0,9.5
0,10,10.5
10,10,11.5
20,10,12.5
30,10,13.5
40,10,14.5
50,10,14.5
60,10,13.5
70,10,12.5
80,10,11.5
90,10,10.5
100,10,9.5
0,20,11.0
10,20,12.5
20,20,14.0
30,20,15.5
40,20,16.5
50,20,16.5
60,20,15.5
70,20,14.0
80,20,12.5
90,20,11.0
100,20,9.5
0,30,11.5
10,30,13.5
20,30,15.5
30,30,17.5
40,30,19.0
50,30,19.0
60,30,17.5
70,30,15.5
80,30,13.5
90,30,11.5
100,30,10.0
0,40,12.0
10,40,14.5
20,40,16.5
30,40,19.0
40,40,21.0
50,40,21.0
60,40,19.0
70,40,16.5
80,40,14.5
90,40,12.0
100,40,10.5
0,50,12.0
10,50,14.5
20,50,16.5
30,50,19.0
40,50,21.0
50,50,21.0
60,50,19.0
70,50,16.5
80,50,14.5
90,50,12.0
100,50,10.5
0,60,11.5
10,60,13.5
20,60,15.5
30,60,17.5
40,60,19.0
50,60,19.0
60,60,17.5
70,60,15.5
80,60,13.5
90,60,11.5
100,60,10.0
0,70,11.0
10,70,12.5
20,70,14.0
30,70,15.5
40,70,16.5
50,70,16.5
60,70,15.5
70,70,14.0
80,70,12.5
90,70,11.0
100,70,9.5
0,80,10.5
10,80,11.5
20,80,12.5
30,80,13.5
40,80,14.5
50,80,14.5
60,80,13.5
70,80,12.5
80,80,11.5
90,80,10.5
100,80,9.5
0,90,10.0
10,90,10.5
20,90,11.0
30,90,11.5
40,90,12.0
50,90,12.0
60,90,11.5
70,90,11.0
80,90,10.5
90,90,10.0
100,90,9.5
0,100,9.5
10,100,9.5
20,100,9.5
30,100,10.0
40,100,10.5
50,100,10.5
60,100,10.0
70,100,9.5
80,100,9.5
90,100,9.5
100,100,9.0
